date,store_code,sku,category,on_hand_units,reorder_point,unit_cost_php
2026-04-01,CDO-01,Bread Loaf 300g,Bakery,87,40,113.01
2026-04-01,CDO-01,Fresh Milk 1L,Dairy,13,35,114.49
2026-04-01,CDO-01,Instant Noodles,Dry Goods,85,60,192.38
2026-04-01,CDO-01,Bottled Water 500ml,Beverage,98,50,101.34
2026-04-01,CDO-01,Canned Goods Mix,Dry Goods,58,45,104.87
2026-04-01,CDO-01,Rice 5kg,Dry Goods,42,25,94.92
2026-04-01,CDO-01,Egg Tray,Dairy,31,20,40.72
2026-04-01,CDO-01,Coffee Sachets,Beverage,95,80,213.47
2026-04-01,CDO-01,Soft Drinks 1.5L,Beverage,52,55,154.85
2026-04-01,CDO-01,Instant Coffee 3-in-1,Beverage,107,70,188.57
2026-04-01,CDO-01,Cup Noodles,Dry Goods,125,65,190.18
2026-04-01,CDO-01,Sandwich Bread,Bakery,31,30,75.13
2026-04-01,CDO-02,Bread Loaf 300g,Bakery,67,40,168.99
2026-04-01,CDO-02,Fresh Milk 1L,Dairy,69,35,15.61
2026-04-01,CDO-02,Instant Noodles,Dry Goods,26,60,141.81
2026-04-01,CDO-02,Bottled Water 500ml,Beverage,102,50,219.45
2026-04-01,CDO-02,Canned Goods Mix,Dry Goods,77,45,100.0
2026-04-01,CDO-02,Rice 5kg,Dry Goods,12,25,142.35
2026-04-01,CDO-02,Egg Tray,Dairy,39,20,102.06
2026-04-01,CDO-02,Coffee Sachets,Beverage,129,80,199.53
2026-04-01,CDO-02,Soft Drinks 1.5L,Beverage,21,55,176.78
2026-04-01,CDO-02,Instant Coffee 3-in-1,Beverage,60,70,87.47
2026-04-01,CDO-02,Cup Noodles,Dry Goods,37,65,120.61
2026-04-01,CDO-02,Sandwich Bread,Bakery,41,30,176.01
2026-04-01,CDO-03,Bread Loaf 300g,Bakery,25,40,24.74
2026-04-01,CDO-03,Fresh Milk 1L,Dairy,68,35,139.38
2026-04-01,CDO-03,Instant Noodles,Dry Goods,45,60,201.52
2026-04-01,CDO-03,Bottled Water 500ml,Beverage,29,50,105.76
2026-04-01,CDO-03,Canned Goods Mix,Dry Goods,35,45,62.13
2026-04-01,CDO-03,Rice 5kg,Dry Goods,8,25,178.58
2026-04-01,CDO-03,Egg Tray,Dairy,40,20,151.65
2026-04-01,CDO-03,Coffee Sachets,Beverage,48,80,101.65
2026-04-01,CDO-03,Soft Drinks 1.5L,Beverage,53,55,132.57
2026-04-01,CDO-03,Instant Coffee 3-in-1,Beverage,106,70,97.95
2026-04-01,CDO-03,Cup Noodles,Dry Goods,50,65,187.2
2026-04-01,CDO-03,Sandwich Bread,Bakery,20,30,89.55
2026-04-01,CDO-04,Bread Loaf 300g,Bakery,49,40,58.29
2026-04-01,CDO-04,Fresh Milk 1L,Dairy,49,35,129.86
2026-04-01,CDO-04,Instant Noodles,Dry Goods,131,60,70.59
2026-04-01,CDO-04,Bottled Water 500ml,Beverage,108,50,147.54
2026-04-01,CDO-04,Canned Goods Mix,Dry Goods,37,45,127.98
2026-04-01,CDO-04,Rice 5kg,Dry Goods,40,25,165.87
2026-04-01,CDO-04,Egg Tray,Dairy,8,20,136.56
2026-04-01,CDO-04,Coffee Sachets,Beverage,100,80,199.68
2026-04-01,CDO-04,Soft Drinks 1.5L,Beverage,46,55,177.36
2026-04-01,CDO-04,Instant Coffee 3-in-1,Beverage,102,70,82.69
2026-04-01,CDO-04,Cup Noodles,Dry Goods,98,65,139.63
2026-04-01,CDO-04,Sandwich Bread,Bakery,48,30,160.84
2026-04-01,CDO-05,Bread Loaf 300g,Bakery,62,40,185.73
2026-04-01,CDO-05,Fresh Milk 1L,Dairy,52,35,199.52
2026-04-01,CDO-05,Instant Noodles,Dry Goods,92,60,73.49
2026-04-01,CDO-05,Bottled Water 500ml,Beverage,57,50,130.87
2026-04-01,CDO-05,Canned Goods Mix,Dry Goods,76,45,27.11
2026-04-01,CDO-05,Rice 5kg,Dry Goods,22,25,166.47
2026-04-01,CDO-05,Egg Tray,Dairy,13,20,36.02
2026-04-01,CDO-05,Coffee Sachets,Beverage,106,80,213.96
2026-04-01,CDO-05,Soft Drinks 1.5L,Beverage,72,55,201.66
2026-04-01,CDO-05,Instant Coffee 3-in-1,Beverage,131,70,62.48
2026-04-01,CDO-05,Cup Noodles,Dry Goods,121,65,110.15
2026-04-01,CDO-05,Sandwich Bread,Bakery,55,30,166.27
2026-04-01,CDO-06,Bread Loaf 300g,Bakery,38,40,32.42
2026-04-01,CDO-06,Fresh Milk 1L,Dairy,75,35,37.84
2026-04-01,CDO-06,Instant Noodles,Dry Goods,128,60,190.35
2026-04-01,CDO-06,Bottled Water 500ml,Beverage,84,50,215.75
2026-04-01,CDO-06,Canned Goods Mix,Dry Goods,96,45,178.57
2026-04-01,CDO-06,Rice 5kg,Dry Goods,25,25,175.62
2026-04-01,CDO-06,Egg Tray,Dairy,7,20,121.75
2026-04-01,CDO-06,Coffee Sachets,Beverage,93,80,150.64
2026-04-01,CDO-06,Soft Drinks 1.5L,Beverage,87,55,131.93
2026-04-01,CDO-06,Instant Coffee 3-in-1,Beverage,130,70,207.34
2026-04-01,CDO-06,Cup Noodles,Dry Goods,33,65,57.57
2026-04-01,CDO-06,Sandwich Bread,Bakery,10,30,195.46
2026-04-04,CDO-01,Bread Loaf 300g,Bakery,55,40,202.03
2026-04-04,CDO-01,Fresh Milk 1L,Dairy,25,35,21.4
2026-04-04,CDO-01,Instant Noodles,Dry Goods,112,60,200.79
2026-04-04,CDO-01,Bottled Water 500ml,Beverage,44,50,94.56
2026-04-04,CDO-01,Canned Goods Mix,Dry Goods,25,45,208.61
2026-04-04,CDO-01,Rice 5kg,Dry Goods,22,25,112.44
2026-04-04,CDO-01,Egg Tray,Dairy,10,20,196.1
2026-04-04,CDO-01,Coffee Sachets,Beverage,45,80,104.17
2026-04-04,CDO-01,Soft Drinks 1.5L,Beverage,87,55,165.55
2026-04-04,CDO-01,Instant Coffee 3-in-1,Beverage,147,70,96.85
2026-04-04,CDO-01,Cup Noodles,Dry Goods,111,65,40.76
2026-04-04,CDO-01,Sandwich Bread,Bakery,33,30,28.99
