date,store_code,sku,category,units_sold
2026-04-01,CDO-01,Bread Loaf 300g,Bakery,21
2026-04-01,CDO-01,Fresh Milk 1L,Dairy,8
2026-04-01,CDO-01,Instant Noodles,Dry Goods,17
2026-04-01,CDO-01,Bottled Water 500ml,Beverage,18
2026-04-01,CDO-01,Canned Goods Mix,Dry Goods,7
2026-04-01,CDO-01,Rice 5kg,Dry Goods,6
2026-04-01,CDO-01,Egg Tray,Dairy,13
2026-04-01,CDO-01,Coffee Sachets,Beverage,12
2026-04-01,CDO-01,Soft Drinks 1.5L,Beverage,11
2026-04-01,CDO-01,Instant Coffee 3-in-1,Beverage,2
2026-04-01,CDO-01,Cup Noodles,Dry Goods,10
2026-04-01,CDO-01,Sandwich Bread,Bakery,2
2026-04-01,CDO-02,Bread Loaf 300g,Bakery,9
2026-04-01,CDO-02,Fresh Milk 1L,Dairy,10
2026-04-01,CDO-02,Instant Noodles,Dry Goods,25
2026-04-01,CDO-02,Bottled Water 500ml,Beverage,26
2026-04-01,CDO-02,Canned Goods Mix,Dry Goods,4
2026-04-01,CDO-02,Rice 5kg,Dry Goods,5
2026-04-01,CDO-02,Egg Tray,Dairy,12
2026-04-01,CDO-02,Coffee Sachets,Beverage,10
2026-04-01,CDO-02,Soft Drinks 1.5L,Beverage,16
2026-04-01,CDO-02,Instant Coffee 3-in-1,Beverage,4
2026-04-01,CDO-02,Cup Noodles,Dry Goods,12
2026-04-01,CDO-02,Sandwich Bread,Bakery,1
2026-04-01,CDO-03,Bread Loaf 300g,Bakery,26
2026-04-01,CDO-03,Fresh Milk 1L,Dairy,13
2026-04-01,CDO-03,Instant Noodles,Dry Goods,13
2026-04-01,CDO-03,Bottled Water 500ml,Beverage,15
2026-04-01,CDO-03,Canned Goods Mix,Dry Goods,8
2026-04-01,CDO-03,Rice 5kg,Dry Goods,6
2026-04-01,CDO-03,Egg Tray,Dairy,12
2026-04-01,CDO-03,Coffee Sachets,Beverage,25
2026-04-01,CDO-03,Soft Drinks 1.5L,Beverage,12
2026-04-01,CDO-03,Instant Coffee 3-in-1,Beverage,4
2026-04-01,CDO-03,Cup Noodles,Dry Goods,12
2026-04-01,CDO-03,Sandwich Bread,Bakery,2
2026-04-01,CDO-04,Bread Loaf 300g,Bakery,24
2026-04-01,CDO-04,Fresh Milk 1L,Dairy,17
2026-04-01,CDO-04,Instant Noodles,Dry Goods,30
2026-04-01,CDO-04,Bottled Water 500ml,Beverage,27
2026-04-01,CDO-04,Canned Goods Mix,Dry Goods,7
2026-04-01,CDO-04,Rice 5kg,Dry Goods,3
2026-04-01,CDO-04,Egg Tray,Dairy,7
2026-04-01,CDO-04,Coffee Sachets,Beverage,16
2026-04-01,CDO-04,Soft Drinks 1.5L,Beverage,7
2026-04-01,CDO-04,Instant Coffee 3-in-1,Beverage,2
2026-04-01,CDO-04,Cup Noodles,Dry Goods,8
2026-04-01,CDO-04,Sandwich Bread,Bakery,2
2026-04-01,CDO-05,Bread Loaf 300g,Bakery,20
2026-04-01,CDO-05,Fresh Milk 1L,Dairy,13
2026-04-01,CDO-05,Instant Noodles,Dry Goods,19
2026-04-01,CDO-05,Bottled Water 500ml,Beverage,18
2026-04-01,CDO-05,Canned Goods Mix,Dry Goods,5
2026-04-01,CDO-05,Rice 5kg,Dry Goods,7
2026-04-01,CDO-05,Egg Tray,Dairy,10
2026-04-01,CDO-05,Coffee Sachets,Beverage,22
2026-04-01,CDO-05,Soft Drinks 1.5L,Beverage,8
2026-04-01,CDO-05,Instant Coffee 3-in-1,Beverage,4
2026-04-01,CDO-05,Cup Noodles,Dry Goods,9
2026-04-01,CDO-05,Sandwich Bread,Bakery,2
2026-04-01,CDO-06,Bread Loaf 300g,Bakery,27
2026-04-01,CDO-06,Fresh Milk 1L,Dairy,17
2026-04-01,CDO-06,Instant Noodles,Dry Goods,23
